Index,URL
71,https://kmt.vander-lingen.nl/data/reaction/doi/10.3762/bjoc.18.183/start/0
72,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acs.orglett.2c03716/start/0
73,https://kmt.vander-lingen.nl/data/reaction/patent/US20230167117A1/start/0
74,https://kmt.vander-lingen.nl/data/reaction/patent/US20230167127A1/start/0
75,https://kmt.vander-lingen.nl/data/reaction/patent/US20230167131A1/start/0
76,https://kmt.vander-lingen.nl/data/reaction/patent/US20230167057A1/start/0
77,https://kmt.vander-lingen.nl/data/reaction/patent/US20230167119A1/start/0
78,https://kmt.vander-lingen.nl/data/reaction/patent/US20230167148A1/start/0
79,https://kmt.vander-lingen.nl/data/reaction/patent/US20230167118A1/start/0
80,https://kmt.vander-lingen.nl/data/reaction/patent/US20230167073A1/start/0
81,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acs.joc.1c00220/start/0
82,https://kmt.vander-lingen.nl/data/reaction/doi/10.1038/s41586-021-04123-9/start/0
83,https://kmt.vander-lingen.nl/data/reaction/doi/10.26434/chemrxiv.12061620.v1/start/0
84,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacs.1c09637/start/0
85,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acs.orglett.1c03851
86,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acs.oprd.1c00010/start/0
87,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacs.1c07955/start/0
88,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacs.1c10279/start/0
89,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acs.oprd.1c00263/start/0
90,https://kmt.vander-lingen.nl/data/reaction/doi/10.1039/D1SC04290D/start/0
91,https://kmt.vander-lingen.nl/data/reaction/doi/10.1002/anie.202112838/start/0
92,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acs.oprd.1c00281/start/0
93,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acs.oprd.1c00284/start/0
94,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acs.orglett.1c03998/start/0
95,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acs.oprd.1c00211/start/0
96,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acs.orglett.1c04289/start/0
97,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacs.1c12063/start/0
98,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacs.1c12401/start/0
99,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acs.orglett.1c04340/start/0
100,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acs.orglett.1c04383/start/0
101,https://kmt.vander-lingen.nl/data/reaction/doi/10.1126/science.abn8343
102,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacs.2c01692/start/0
103,https://kmt.vander-lingen.nl/data/reaction/doi/10.26434/chemrxiv-2022-2xrx4/start/0
104,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acs.orglett.2c00444/start/0
105,https://kmt.vander-lingen.nl/data/reaction/doi/10.1002/anie.202201213/start/0
106,https://kmt.vander-lingen.nl/data/reaction/doi/10.3762/bjoc.18.46/start/0
107,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acs.orglett.2c00955/start/0
108,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacs.2c03192/start/0
109,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acs.orglett.2c00976/start/0
110,https://kmt.vander-lingen.nl/data/reaction/doi/10.1039/D2SC01458K/start/0
111,https://kmt.vander-lingen.nl/data/reaction/doi/10.1038/s41557-022-00935-y
112,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacs.2c03304/start/0
113,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acs.orglett.2c01401/start/0
